date,applications
2008-01-01,1170
2008-02-01,1105
2008-03-01,1800
2008-04-01,1780
2008-05-01,2850
2008-06-01,2680
2008-07-01,3870
2008-08-01,3785
2008-09-01,3395
2008-10-01,3260
2008-11-01,2740
2008-12-01,1705
2009-01-01,1715
2009-02-01,1375
2009-03-01,1470
2009-04-01,2280
2009-05-01,2395
2009-06-01,1240
2009-07-01,1415
2009-08-01,590
2009-09-01,1080
2009-10-01,1305
2009-11-01,1850
2009-12-01,655
2010-01-01,1000
2010-02-01,675
2010-03-01,1030
2010-04-01,730
2010-05-01,940
2010-06-01,975
2010-07-01,815
2010-08-01,515
2010-09-01,810
2010-10-01,865
2010-11-01,1020
2010-12-01,630
2011-01-01,815
2011-02-01,2495
2011-03-01,2990
2011-04-01,2005
2011-05-01,6875
2011-06-01,6420
2011-07-01,4690
2011-08-01,4080
2011-09-01,3935
2011-10-01,2805
2011-11-01,1990
2011-12-01,1200
2012-01-01,1120
2012-02-01,1150
2012-03-01,1405
2012-04-01,1040
2012-05-01,1510
2012-06-01,1030
2012-07-01,1535
2012-08-01,1530
2012-09-01,1425
2012-10-01,2170
2012-11-01,1985
2012-12-01,1270
2013-01-01,1640
2013-02-01,1165
2013-03-01,1865
2013-04-01,1810
2013-05-01,1685
2013-06-01,1930
2013-07-01,2360
2013-08-01,2475
2013-09-01,2400
2013-10-01,3215
2013-11-01,3015
2013-12-01,2165
2014-01-01,3375
2014-02-01,3175
2014-03-01,3795
2014-04-01,4215
2014-05-01,5370
2014-06-01,4555
2014-07-01,5605
2014-08-01,5065
2014-09-01,7220
2014-10-01,8890
2014-11-01,6785
2014-12-01,5610
2015-01-01,4530
2015-02-01,4870
2015-03-01,5430
2015-04-01,4490
2015-05-01,5130
2015-06-01,5265
2015-07-01,8510
2015-08-01,8775
2015-09-01,11105
2015-10-01,10365
2015-11-01,8245
2015-12-01,6075
2016-01-01,7395
2016-02-01,7595
2016-03-01,7295
2016-04-01,7785
2016-05-01,9080
2016-06-01,9815
2016-07-01,10870
2016-08-01,11290
2016-09-01,12295
2016-10-01,13315
2016-11-01,13435
2016-12-01,11020
2017-01-01,11570
2017-02-01,11820
2017-03-01,13510
2017-04-01,9405
2017-05-01,11940
2017-06-01,12805
2017-07-01,12050
2017-08-01,10070
2017-09-01,10390
2017-10-01,9625
2017-11-01,8325
2017-12-01,5040
2018-01-01,7100
2018-02-01,6065
2018-03-01,5845
2018-04-01,4520
2018-05-01,5135
2018-06-01,5155
2018-07-01,4420
2018-08-01,2400
2018-09-01,3240
2018-10-01,3595
2018-11-01,3535
2018-12-01,2430
2019-01-01,3175
2019-02-01,2680
2019-03-01,2595
2019-04-01,2565
2019-05-01,3115
2019-06-01,2820
2019-07-01,3075
2019-08-01,2265
2019-09-01,3005
2019-10-01,3890
2019-11-01,3340
2019-12-01,2485
2020-01-01,3060
2020-02-01,3060
2020-03-01,850
2020-04-01,120
2020-05-01,890
2020-06-01,1500
2020-07-01,1810
2020-08-01,930
2020-09-01,1055
2020-10-01,2915
2020-11-01,2580
2020-12-01,2560
2021-01-01,2425
2021-02-01,2310
2021-03-01,2660
2021-04-01,2390
2021-05-01,2715
2021-06-01,2960
2021-07-01,3280
2021-08-01,3890
2021-09-01,6610
2021-10-01,5875
2021-11-01,5505
2021-12-01,4575
2022-01-01,4460
2022-02-01,5230
2022-03-01,6130
2022-04-01,4700
2022-05-01,6450
2022-06-01,5690
2022-07-01,5105
2022-08-01,5985
2022-09-01,7920
2022-10-01,8385
2022-11-01,9145
2022-12-01,7995
2023-01-01,8415
2023-02-01,9840
2023-03-01,11335
2023-04-01,8175
2023-05-01,11045
2023-06-01,10730
2023-07-01,9825
2023-08-01,10005
2023-09-01,11930
2023-10-01,14950
2023-11-01,14160
2023-12-01,10160
2024-01-01,12920
2024-02-01,13345
2024-03-01,15115
2024-04-01,13485
2024-05-01,14770
2024-06-01,11685
2024-07-01,13235
2024-08-01,9620
2024-09-01,11895
2024-10-01,13715
2024-11-01,11620
2024-12-01,9715
2025-01-01,10905
2025-02-01,10715
2025-03-01,12390
2025-04-01,4780
2025-05-01,11760
2025-06-01,9765
2025-07-01,11190
2025-08-01,9075
2025-09-01,11220
2025-10-01,12650
2025-11-01,12195
2025-12-01,9985
2026-01-01,10660
2026-02-01,10560
